ID;Company;Description
de9c739f-a97d-4bee-a362-a94069fa64ff;Microsoft;Microsoft is the largest vendor of computer software in the world. It is also a leading provider of cloud computing services, video games, computer and gaming hardware, search and other online services.
364f8a85-ee35-4134-afaf-a19ec420df77;SAP;SAP, or Systems Applications and Products, is a widely-used enterprise resource planning (ERP) software. SAP creates a centralized system for businesses that enables every department to access and share common data to create a better work environment for every employee in the company.
